frame,cell_id,centroid_x,centroid_y,area,perimeter,circularity,aspect_ratio,eccentricity,solidity,bbox_min_y,bbox_min_x,bbox_max_y,bbox_max_x,nn_distance
0,1,886.0331467929402,12.993973310374516,2323.0,216.5685424949238,0.6223981976335272,2.9680711538290128,0.9415335834153018,0.9834885690093141,0,842,30,933,66.76027127843098
0,2,926.4331065759637,66.14260519022424,3969.0,249.03657992645924,0.8042011244744017,1.656662471457427,0.7972696916699668,0.9783090953906828,26,891,107,962,66.76027127843098
0,3,979.5717714834374,170.09457513202113,4166.0,249.9655121145938,0.8378551505451673,1.2377831794808516,0.5893251708979014,0.9636826278047652,137,943,208,1022,116.7464336197428
0,4,773.8077367205543,444.4484988452656,8660.0,435.1198410471445,0.5747910295629747,2.631424170995194,0.9249773038961824,0.876252150156835,369,736,538,813,66.56860942787446
0,5,596.2906976744187,420.47886971742935,7998.0,341.8061325481598,0.8602636314575298,1.104185374040144,0.4240366415768736,0.9757228254239356,371,545,476,646,113.3753599886279
0,6,707.2423208191126,443.7964505119454,7325.0,328.35028842544403,0.8537735355323404,1.2021214103176616,0.5549814374514975,0.9817718804449805,394,662,496,750,66.56860942787446
0,7,362.5968634686347,446.02583025830256,1084.0,120.32590180780451,0.9408510971303112,1.1426195259176153,0.48379389321333766,0.9801084990958409,428,345,465,381,104.94061256210563
0,8,447.05589955280357,508.30908152734776,5814.0,310.8772003600252,0.755974501138771,1.8504596999130627,0.841404229540314,0.9797775530839231,457,403,563,489,100.35285017613724
0,9,257.50121654501214,560.3106244931063,4932.0,266.76450198781714,0.8709171762320732,1.1693462060165853,0.5183332371325637,0.9807118711473454,521,219,605,296,119.73542327117791
0,10,722.9413656967392,571.0780815908759,6839.0,329.7056274847714,0.7905871444116626,1.5701595787447962,0.7709646476360028,0.9768604485073561,529,669,614,783,121.70082490064492
0,11,375.77706438380596,578.9491706795078,5607.0,282.5929291125633,0.8823031671436963,1.3144101421189525,0.6489892959261889,0.9864532019704434,540,330,616,426,100.35285017613724
0,12,570.8124409448819,614.5911811023622,6350.0,328.2914139223983,0.740396812657661,1.6121670165418729,0.7843779962654751,0.9773741726950901,566,516,655,624,69.9918647659646
0,13,1001.7790224032586,603.2881873727088,1964.0,190.99494936611666,0.6765619689389651,1.9846376683771485,0.8637793174649437,0.9722772277227723,575,971,639,1024,246.81945045646998
0,14,627.2891003171424,655.9342346853614,5991.0,344.492424049175,0.634380511270534,2.5430947433013835,0.919443694017825,0.9755740107474352,591,596,727,663,68.2839784982312
0,15,687.7909595300262,687.5921997389034,6128.0,307.73506473629425,0.8131574616927386,1.1117273420548872,0.4369184338351769,0.9764181007010835,639,634,727,733,68.2839784982312
0,16,557.9645111755673,688.059034294489,5861.0,315.7228714274745,0.7388724907674425,1.2845498145742444,0.6276658768830734,0.949303530936184,649,506,737,599,74.58280466714261
